Operator,G6SH,G6NL,G6NH,G3SH,G3SL,G3SL,G3NH,B6SH,B6SL,B6NH,B6NH,B3NH,B3NL,B3SH,B3SH,Preference,Experience
1,7,10,9,5,4,4,10,4,5,8,6,7,6,3,5,Bitter,Experienced
2,5,7,5,4,4,4,9,3,6,6,4,5,7,3,3,Bitter,Experienced
3,2,8,9,5,4,7,8,5,8,5,3,7,5,7,3,Sweet,Minimal
4,6,3,2,4,4,4,2,6,4,2,3,7,1,4,3,Sweet,Minimal
5,8,6,5,7,4,7,5,6,6,5,4,5,5,6,4,Sweet,Minimal
6,7,8,6,7,7,7,4,7,8,8,7,5,7,9,6,No Preference,Minimal
7,8,8,3,7,7,7,7,4,5,5,8,6,5,7,8,No Preference,Intermediate
8,4,7,6,6,5,7,7,2,3,3,6,4,4,5,4,No Preference,Intermediate
9,6,5,7,8,5,6,4,8,5,6,5,6,5,6,5,No Preference,Intermediate
10,4,8,5,5,6,7,3,7,3,3,4,6,6,2,5,No Preference,Intermediate
11,8,6,5,4,6,3,6,5,3,4,6,7,6,5,5,No Preference,Intermediate
12,8,6,9,4,3,6,9,8,2,7,8,6,1,6,7,No Preference,Intermediate
